group,name,city,address,metres_from_first,on_greenmeister,status,has_hours,menus,latest_menu,menu_archive,note,id
114,Liberty II,Roosendaal,"Hoogstraat 15, Roosendaal",5,yes,open,no,0,,,,liberty-ii-roosendaal
115,'t Centrum,Rotterdam,"Van Oldenbarneveltstraat 154b, 3012 GX, Rotterdam",0,no,open,no,1,,,,t-centrum-rotterdam
115,Centrum,Rotterdam,"Van Oldenbarneveltstraat 154-b, Rotterdam",0,yes,open,yes,0,,,,centrum-rotterdam
116,Afrikaanderplein,Rotterdam,"Paul Krugerstraat 42, Rotterdam",0,yes,open,no,0,,,,afrikaanderplein-rotterdam
116,New York,Rotterdam,"Paul Krugerstraat 42, Rotterdam",0,yes,open,yes,3,,,,new-york-rotterdam
117,Alpha Blondy,Rotterdam,"Nieuwe Binnenweg 144B, Rotterdam",0,yes,open,no,1,,,,alpha-blondy-rotterdam
117,Desire,Rotterdam,"Nieuwe Binnenweg 148, Rotterdam",15,yes,open,no,0,,,,desire-rotterdam
118,Bambu High Tea,Rotterdam,"Noordsingel 201, 3035 ER, Rotterdam",0,no,open,no,1,,,,bambu-high-tea-rotterdam
118,High Tea,Rotterdam,"Noordsingel 201, Rotterdam",1,yes,open,yes,0,,,,high-tea-rotterdam
119,De Grasspriet,Rotterdam,"Slaghekstraat 58-a, Rotterdam",0,yes,open,yes,0,,,,de-grasspriet-rotterdam
119,Dreams ,Rotterdam,"Slaghekstraat 58-a, Rotterdam",0,yes,open,yes,3,,,,dreams-rotterdam
120,Happy Days,Rotterdam,"Boergoensestraat 35, Rotterdam",0,yes,open,yes,0,,,,happy-days-rotterdam
120,Space,Rotterdam,"Boergoensestraat 35A, Rotterdam",4,yes,open,yes,0,,,,space-rotterdam
121,Hunter's Rotterdam,Rotterdam,"Henegouwerlaan 73, Rotterdam",0,yes,open,yes,1,,,,hunters-rotterdam-rotterdam
121,Sensi Smile,Rotterdam,"Henegouwerlaan 73, Rotterdam",0,yes,open,yes,3,,,,sensi-smile-rotterdam
122,Seven,Rotterdam,"Joost van Geelstraat 69A, 3021 VL, Rotterdam",0,no,open,no,1,,,,seven-rotterdam
122,Seven Up,Rotterdam,"Joost van Geelstraat 69A, Rotterdam",3,yes,open,yes,0,,,,seven-up-rotterdam
123,Bamboo,Schiedam,"Parkweg 373, Schiedam",0,yes,open,yes,0,,,,bamboo-schiedam
123,Spoenk,Schiedam,"Parkweg 373, Schiedam",0,yes,open,yes,0,,,,spoenk-schiedam
124,The Grass Company,Tilburg,"Spoorlaan 360, 5038 CD, Tilburg",0,no,open,no,2,,,,the-grass-company-tilburg
124,The Grass Company Spoorlaan,Tilburg,"Spoorlaan 360, Tilburg",2,yes,open,yes,0,,,,the-grass-company-spoorlaan-tilburg
125,The Grass Company 2,Tilburg,"Piusstraat 124, 5021 JC, Tilburg",0,no,open,no,1,,,,the-grass-company-2-tilburg
125,The Grass Company Piusstraat,Tilburg,"Piusstraat 124, Tilburg",3,yes,open,yes,0,,,,the-grass-company-piusstraat-tilburg
126,208,Utrecht,"Oudegracht 208, Utrecht",0,yes,open,yes,2,,,,208-utrecht
126,Coffeeshop 030,Utrecht,"Oudegracht 208, 3511 NR, Utrecht",3,no,open,no,1,,,,coffeeshop-030-utrecht
127,Black & White,Utrecht,"Vismarkt 14, Utrecht",0,yes,open,no,0,,,,black-white-utrecht
127,Black and White,Utrecht,"Vismarkt 14, Utrecht",0,yes,open,yes,0,,,,black-and-white-utrecht
128,Culture Boat,Utrecht,"Wittevrouwensingel 206, 3572 CE, Utrecht",0,no,open,no,1,,,,culture-boat-utrecht
128,De Boot (Culture Boat),Utrecht,"Wittevrouwensingel 206, Utrecht",11,yes,open,yes,0,,,,de-boot-culture-boat-utrecht
129,De Hobbit,Weert,"Beekstraat 50, Weert",0,yes,open,yes,0,,,,de-hobbit-weert
129,Twins,Weert,"Beekstraat 50, Weert",0,yes,open,yes,1,,,,twins-weert
130,Hunter's Coffeeshop Zandvoort,Zandvoort,"Stationsstraat 9-11, Zandvoort",0,yes,open,yes,1,,,,hunters-coffeeshop-zandvoort-zandvoort
130,La Paz,Zandvoort,"Stationsstraat 11, Zandvoort",4,yes,open,no,5,,,,la-paz-zandvoort
131,Green Guys,Zeist,"Steynlaan 90, Zeist",0,yes,open,yes,0,,,,green-guys-zeist
131,Rivia,Zeist,"Steynlaan 90, Zeist",0,yes,open,yes,0,,,,rivia-zeist
