name,status,street,postcode,city,address,folder,logo_file,menu_count,archive_count,latest_menu,note,source_page
Crush,open,Marnixstraat 383,1016 XR,Amsterdam,"Marnixstraat 383, 1016 XR Amsterdam",Crush,Crush/logo.png,1,23,20 June 2026,,https://www.coffeeshopmenus.org/cs-crush.html
D&L,open,Govert Flinckstraat 323,1074 CB,Amsterdam,"Govert Flinckstraat 323, 1074 CB Amsterdam",D&L,D&L/logo.png,1,6,19 December 2021,,https://www.coffeeshopmenus.org/cs-d-l.html
Dampkring,open,Handboogstraat 29,1012 XM,Amsterdam,"Handboogstraat 29, 1012 XM Amsterdam",Dampkring,Dampkring/logo.png,1,90,18 June 2026,,https://www.coffeeshopmenus.org/cs-dampkring.html
Dampkring 2,open,Haarlemmerstraat 44,1013 ES,Amsterdam,"Haarlemmerstraat 44, 1013 ES Amsterdam",Dampkring 2,Dampkring 2/logo.png,4,17,4 October 2016,Previously Pink Floyd and later CoffeeshopAmsterdam,https://www.coffeeshopmenus.org/cs-dampkring-2.html
de Barentsz,open,Barentszstraat 130,1013 NS,Amsterdam,"Barentszstraat 130, 1013 NS Amsterdam",Barentsz,Barentsz/logo.png,1,,24 September 2010,Later Baba,https://www.coffeeshopmenus.org/cs-barentsz.html
de Bommel,open,Balboastraat 19,1057 VT,Amsterdam,"Balboastraat 19, 1057 VT Amsterdam",deBommel,deBommel/logo.png,1,3,21 April 2023,,https://www.coffeeshopmenus.org/cs-bommel.html
de Graal,closed,Albert Cuypstraat 25,1072 CK,Amsterdam,"Albert Cuypstraat 25, 1072 CK Amsterdam",de Graal,de Graal/logo.png,1,30,7 December 2016,Historic coffeeshop,https://www.coffeeshopmenus.org/cs-graal.html
De Kade,open,Stadionkade 107,1076 BN,Amsterdam,"Stadionkade 107, 1076 BN Amsterdam",deKade,deKade/logo.png,1,24,12 July 2026,,https://www.coffeeshopmenus.org/cs-kade.html
de Keeper,open,Van Woustraat 193,1074 AN,Amsterdam,"Van Woustraat 193, 1074 AN Amsterdam",de Keeper,de Keeper/logo.png,1,,5 November 2009,Later SuperFly,https://www.coffeeshopmenus.org/cs-keeper.html
de Kroon,open,Oudebrugsteeg 26,1012 JP,Amsterdam,"Oudebrugsteeg 26, 1012 JP Amsterdam",de Kroon,de Kroon/logo.png,1,17,12 September 2025,Later Tha Dogg House 2,https://www.coffeeshopmenus.org/cs-kroon.html
